,engagement_id,customer_id,service_id,quantity,billed_amount,engagement_date,recorded_by
393,ENG10393,CUST1066,PROD006,2,70823.65,2024-06-09,FinMark BI Team
394,ENG10394,CUST1045,PROD005,2,21415.7,2024-08-17,FinMark BI Team
395,ENG10395,CUST1023,PROD005,2,73913.64,2024-06-11,FinMark BI Team
396,ENG10396,CUST1031,PROD015,3,66991.9,2024-01-02,FinMark BI Team
397,ENG10397,CUST1046,PROD017,3,66822.57,2023-08-29,FinMark BI Team
398,ENG10398,CUST1085,PROD009,1,47479.75,2023-04-02,FinMark BI Team
399,ENG10399,CUST1022,PROD003,1,43880.32,2023-09-07,FinMark BI Team
400,ENG10400,CUST1065,PROD020,3,38174.94,2023-11-29,FinMark BI Team
401,ENG10401,CUST1026,PROD017,1,23941.69,2023-11-05,FinMark BI Team
403,ENG10403,CUST1089,PROD003,2 units,34796.22,2023-06-27,FinMark BI Team
404,ENG10404,CUST1016,PROD018,3,49044.62,2024-05-06,FinMark BI Team
405,ENG10405,CUST1032,PROD018,1,64846.66,2024-06-15,FinMark BI Team
406,ENG10406,CUST1008,PROD017,2,48428.59,2022-10-05,FinMark BI Team
407,ENG10407,CUST1042,PROD003,2 units,23470.67,2023-07-06,FinMark BI Team
408,ENG10408,CUST1047,PROD003,3,77467.39,2022-04-21,FinMark BI Team
409,ENG10409,CUST1038,PROD006,1,76563.46,2023-01-20,FinMark BI Team
410,ENG10410,CUST1092,PROD013,3,67111.37,2024-01-31,FinMark BI Team
411,ENG10411,CUST1041,PROD015,2,79479.67,2025-04-29,FinMark BI Team
412,ENG10412,CUST1025,PROD009,2 units,52668.94,2023-11-25,FinMark BI Team
414,ENG10414,CUST1049,PROD014,3,24536.3,2023-02-09,FinMark BI Team
416,ENG10416,CUST1023,PROD002,2,33522.88,2025-05-17,FinMark BI Team
417,ENG10417,CUST1012,PROD011,3,31749.99,2022-01-22,FinMark BI Team
418,ENG10418,CUST1059,PROD009,2,28448.18,2023-11-09,FinMark BI Team
419,ENG10419,CUST1006,PROD003,2,57344.82,2023-09-03,FinMark BI Team
420,ENG10420,CUST1056,PROD009,2,66879.31,2025-05-16,FinMark BI Team
421,ENG10421,CUST1035,PROD003,2 units,54697.9,2022-01-08,FinMark BI Team
422,ENG10422,CUST1044,PROD002,2 units,28817.76,2023-12-03,FinMark BI Team
423,ENG10423,CUST1019,PROD012,3,68667.43,2023-06-13,FinMark BI Team
424,ENG10424,CUST1064,PROD010,3,58157.28,2023-08-25,FinMark BI Team
425,ENG10425,CUST1007,PROD009,2 units,43289.94,2023-10-19,FinMark BI Team
426,ENG10426,CUST1015,PROD015,1,60447.82,2022-06-15,FinMark BI Team
427,ENG10427,CUST1013,PROD008,2 units,35594.3,2024-04-28,FinMark BI Team
428,ENG10428,CUST1075,PROD005,2,40711.53,2023-05-11,FinMark BI Team
429,ENG10429,CUST1086,PROD011,2 units,75049.15,2023-08-13,FinMark BI Team
430,ENG10430,CUST1014,PROD002,2,37430.27,2023-03-05,FinMark BI Team
431,ENG10431,CUST1091,PROD015,3,48199.3,2024-02-13,FinMark BI Team
432,ENG10432,CUST1097,PROD006,1,73408.47,2022-06-12,FinMark BI Team
433,ENG10433,CUST1065,PROD008,3,62463.28,2023-01-01,FinMark BI Team
435,ENG10435,CUST1086,PROD016,2,28838.18,2022-03-13,FinMark BI Team
436,ENG10436,CUST1062,PROD018,2,20470.5,2023-10-17,FinMark BI Team
437,ENG10437,CUST1085,PROD006,1,57855.31,2022-09-26,FinMark BI Team
438,ENG10438,CUST1050,PROD005,2 units,46860.41,2023-02-19,FinMark BI Team
440,ENG10440,CUST1057,PROD013,3,77476.05,2024-10-12,FinMark BI Team
441,ENG10441,CUST1062,PROD005,2 units,51779.58,2023-11-06,FinMark BI Team
442,ENG10442,CUST1061,PROD013,3,34513.6,2024-12-19,FinMark BI Team
443,ENG10443,CUST1021,PROD017,1,50036.21,2022-01-06,FinMark BI Team
444,ENG10444,CUST1057,PROD018,3,60777.22,2024-09-08,FinMark BI Team
445,ENG10445,CUST1057,PROD008,2,24574.35,2023-07-24,FinMark BI Team
446,ENG10446,CUST1085,PROD013,2 units,36482.23,2023-02-11,FinMark BI Team
447,ENG10447,CUST1048,PROD019,1,68417.93,2025-05-25,FinMark BI Team
448,ENG10448,CUST1051,PROD003,2 units,47579.89,2022-01-26,FinMark BI Team
449,ENG10449,CUST1041,PROD008,1,52794.63,2024-10-25,FinMark BI Team
450,ENG10450,CUST1069,PROD002,2,45968.96,2024-09-12,FinMark BI Team
451,ENG10451,CUST1014,PROD008,2 units,22634.0,2023-01-25,FinMark BI Team
452,ENG10452,CUST1053,PROD013,3,29944.99,2023-12-11,FinMark BI Team
453,ENG10453,CUST1059,PROD013,1,46732.5,2023-07-25,FinMark BI Team
454,ENG10454,CUST1096,PROD001,2 units,32551.13,2024-01-24,FinMark BI Team
455,ENG10455,CUST1007,PROD006,3,22998.74,2022-05-26,FinMark BI Team
457,ENG10457,CUST1059,PROD016,2 units,78871.55,2024-02-24,FinMark BI Team
459,ENG10459,CUST1067,PROD001,1,71227.1,2023-06-10,FinMark BI Team
460,ENG10460,CUST1005,PROD016,3,34518.63,2022-01-13,FinMark BI Team
461,ENG10461,CUST1095,PROD009,2,77637.62,2024-06-21,FinMark BI Team
462,ENG10462,CUST1093,PROD013,1,31815.54,2023-01-19,FinMark BI Team
463,ENG10463,CUST1046,PROD011,1,77085.79,2023-07-10,FinMark BI Team
464,ENG10464,CUST1098,PROD013,1,79689.16,2024-06-05,FinMark BI Team
466,ENG10466,CUST1039,PROD004,3,78868.62,2022-01-19,FinMark BI Team
467,ENG10467,CUST1051,PROD006,3,54172.39,2023-07-29,FinMark BI Team
468,ENG10468,CUST1015,PROD007,3,35572.51,2024-01-21,FinMark BI Team
469,ENG10469,CUST1012,PROD005,2 units,46219.75,2024-09-30,FinMark BI Team
470,ENG10470,CUST1029,PROD011,2 units,55613.66,2023-02-23,FinMark BI Team
472,ENG10472,CUST1016,PROD019,2,57340.6,2023-02-23,FinMark BI Team
473,ENG10473,CUST1062,PROD010,2 units,78870.67,2022-05-02,FinMark BI Team
474,ENG10474,CUST1018,PROD010,2,31406.46,2023-03-08,FinMark BI Team
475,ENG10475,CUST1091,PROD011,3,67555.71,2022-02-13,FinMark BI Team
477,ENG10477,CUST1054,PROD018,2 units,76622.1,2023-01-16,FinMark BI Team
478,ENG10478,CUST1089,PROD004,1,77608.14,2022-05-25,FinMark BI Team
480,ENG10480,CUST1061,PROD014,3,78638.47,2022-12-29,FinMark BI Team
481,ENG10481,CUST1022,PROD013,1,65438.61,2024-12-09,FinMark BI Team
482,ENG10482,CUST1008,PROD012,1,29700.29,2024-12-24,FinMark BI Team
483,ENG10483,CUST1011,PROD007,3,48614.01,2022-12-21,FinMark BI Team
484,ENG10484,CUST1000,PROD002,1,63099.87,2024-03-10,FinMark BI Team
485,ENG10485,CUST1057,PROD013,2,34840.42,2025-04-02,FinMark BI Team
486,ENG10486,CUST1000,PROD014,2,58436.91,2025-03-10,FinMark BI Team
487,ENG10487,CUST1033,PROD017,2 units,59996.03,2024-04-05,FinMark BI Team
488,ENG10488,CUST1095,PROD009,1,29761.98,2025-02-25,FinMark BI Team
489,ENG10489,CUST1047,PROD017,2 units,53905.12,2023-02-02,FinMark BI Team
490,ENG10490,CUST1088,PROD008,1,66297.61,2024-05-29,FinMark BI Team
491,ENG10491,CUST1000,PROD002,2,49933.74,2023-04-08,FinMark BI Team
492,ENG10492,CUST1015,PROD013,2,20726.19,2024-03-18,FinMark BI Team
493,ENG10493,CUST1060,PROD003,2,20542.31,2022-07-06,FinMark BI Team
494,ENG10494,CUST1063,PROD016,1,41421.76,2024-01-02,FinMark BI Team
495,ENG10495,CUST1062,PROD006,2,75571.64,2025-04-28,FinMark BI Team
497,ENG10497,CUST1021,PROD007,2 units,58061.82,2023-03-05,FinMark BI Team
498,ENG10498,CUST1092,PROD010,1,33324.55,2024-05-07,FinMark BI Team
500,ENG10500,CUST1075,PROD002,1,70882.53,2022-08-25,FinMark BI Team
501,ENG10501,CUST1025,PROD015,2 units,63731.69,2025-05-02,FinMark BI Team
503,ENG10503,CUST1050,PROD004,2 units,45722.12,2024-02-10,FinMark BI Team
504,ENG10504,CUST1085,PROD020,2,21750.19,2024-01-28,FinMark BI Team
505,ENG10505,CUST1056,PROD004,2,48853.41,2022-05-16,FinMark BI Team
506,ENG10506,CUST1028,PROD018,2 units,59746.04,2024-03-02,FinMark BI Team
507,ENG10507,CUST1077,PROD004,1,27110.16,2022-06-20,FinMark BI Team
508,ENG10508,CUST1091,PROD017,1,37333.1,2022-06-08,FinMark BI Team
509,ENG10509,CUST1068,PROD012,3,43870.2,2022-07-20,FinMark BI Team
510,ENG10510,CUST1046,PROD017,1,75171.86,2024-08-19,FinMark BI Team
511,ENG10511,CUST1093,PROD010,3,79595.3,2023-08-06,FinMark BI Team
512,ENG10512,CUST1061,PROD001,1,22694.68,2024-05-25,FinMark BI Team
513,ENG10513,CUST1068,PROD018,1,65660.48,2023-01-06,FinMark BI Team
514,ENG10514,CUST1075,PROD018,2,42303.44,2022-04-13,FinMark BI Team
515,ENG10515,CUST1015,PROD014,3,43547.49,2024-09-28,FinMark BI Team
516,ENG10516,CUST1089,PROD015,1,65255.9,2025-02-22,FinMark BI Team
518,ENG10518,CUST1047,PROD004,2,77055.72,2024-09-02,FinMark BI Team
519,ENG10519,CUST1084,PROD003,2,54627.36,2024-03-08,FinMark BI Team
521,ENG10521,CUST1099,PROD012,2,67252.95,2023-10-20,FinMark BI Team
522,ENG10522,CUST1032,PROD007,2 units,35060.08,2024-05-31,FinMark BI Team
523,ENG10523,CUST1093,PROD011,2 units,53844.44,2025-05-05,FinMark BI Team
524,ENG10524,CUST1022,PROD001,2,41514.71,2024-01-03,FinMark BI Team
525,ENG10525,CUST1009,PROD006,2 units,59397.86,2023-02-27,FinMark BI Team
526,ENG10526,CUST1068,PROD015,1,34423.93,2023-07-26,FinMark BI Team
527,ENG10527,CUST1099,PROD015,3,31495.58,2022-06-20,FinMark BI Team
529,ENG10529,CUST1051,PROD011,3,26108.22,2022-06-22,FinMark BI Team
530,ENG10530,CUST1094,PROD002,2,50357.47,2023-10-25,FinMark BI Team
531,ENG10531,CUST1009,PROD014,1,33251.17,2023-03-29,FinMark BI Team
532,ENG10532,CUST1018,PROD002,2,22335.8,2022-12-16,FinMark BI Team
533,ENG10533,CUST1057,PROD004,2,22161.13,2023-05-09,FinMark BI Team
534,ENG10534,CUST1095,PROD017,3,30513.31,2023-09-12,FinMark BI Team
535,ENG10535,CUST1000,PROD003,3,72006.22,2024-10-24,FinMark BI Team
536,ENG10536,CUST1068,PROD013,3,36948.72,2025-01-21,FinMark BI Team
537,ENG10537,CUST1003,PROD009,1,77027.55,2024-07-07,FinMark BI Team
538,ENG10538,CUST1015,PROD007,2 units,54897.34,2022-01-06,FinMark BI Team
539,ENG10539,CUST1023,PROD015,3,46196.85,2022-10-15,FinMark BI Team
540,ENG10540,CUST1079,PROD011,3,54805.33,2025-03-15,FinMark BI Team
542,ENG10542,CUST1091,PROD002,3,65526.58,2023-08-31,FinMark BI Team
543,ENG10543,CUST1031,PROD015,1,36949.76,2023-04-02,FinMark BI Team
544,ENG10544,CUST1090,PROD014,2,41183.02,2025-05-10,FinMark BI Team
545,ENG10545,CUST1083,PROD020,3,73645.66,2025-05-20,FinMark BI Team
546,ENG10546,CUST1023,PROD011,3,76787.39,2024-10-26,FinMark BI Team
547,ENG10547,CUST1011,PROD003,2,73553.49,2023-09-16,FinMark BI Team
548,ENG10548,CUST1049,PROD017,2,45166.88,2023-01-11,FinMark BI Team
549,ENG10549,CUST1034,PROD012,2,66821.93,2023-03-23,FinMark BI Team
550,ENG10550,CUST1032,PROD015,3,48580.14,2024-04-14,FinMark BI Team
551,ENG10551,CUST1032,PROD016,2 units,49852.39,2025-02-03,FinMark BI Team
552,ENG10552,CUST1060,PROD005,2 units,32280.81,2024-03-21,FinMark BI Team
554,ENG10554,CUST1042,PROD006,3,31168.15,2025-01-24,FinMark BI Team
556,ENG10556,CUST1066,PROD005,3,71301.81,2024-08-16,FinMark BI Team
557,ENG10557,CUST1064,PROD003,2,32424.55,2024-04-28,FinMark BI Team
558,ENG10558,CUST1032,PROD001,3,24269.5,2024-03-19,FinMark BI Team
559,ENG10559,CUST1039,PROD006,3,24140.46,2024-09-05,FinMark BI Team
560,ENG10560,CUST1073,PROD015,2,76447.07,2023-02-20,FinMark BI Team
561,ENG10561,CUST1042,PROD002,2 units,50415.23,2023-12-27,FinMark BI Team
562,ENG10562,CUST1043,PROD003,2,44564.72,2023-03-30,FinMark BI Team
564,ENG10564,CUST1012,PROD012,1,70149.56,2025-05-01,FinMark BI Team
565,ENG10565,CUST1011,PROD018,2,39931.46,2022-05-30,FinMark BI Team
566,ENG10566,CUST1094,PROD015,3,61617.08,2024-01-29,FinMark BI Team
567,ENG10567,CUST1045,PROD012,1,66267.37,2024-02-18,FinMark BI Team
568,ENG10568,CUST1001,PROD016,1,59279.04,2024-08-30,FinMark BI Team
569,ENG10569,CUST1034,PROD008,3,29095.7,2024-02-02,FinMark BI Team
570,ENG10570,CUST1086,PROD014,3,72552.99,2024-09-28,FinMark BI Team
573,ENG10573,CUST1007,PROD015,2,45513.69,2022-03-17,FinMark BI Team
574,ENG10574,CUST1092,PROD014,2,22254.27,2023-08-22,FinMark BI Team
576,ENG10576,CUST1073,PROD020,1,65932.81,2022-08-13,FinMark BI Team
577,ENG10577,CUST1089,PROD007,1,20000.7,2022-04-23,FinMark BI Team
578,ENG10578,CUST1033,PROD003,3,44993.95,2022-09-08,FinMark BI Team
580,ENG10580,CUST1067,PROD003,1,23278.07,2024-04-20,FinMark BI Team
581,ENG10581,CUST1057,PROD020,2 units,78384.69,2023-12-15,FinMark BI Team
582,ENG10582,CUST1074,PROD014,2 units,33567.52,2025-01-11,FinMark BI Team
583,ENG10583,CUST1028,PROD015,2,38251.92,2022-05-05,FinMark BI Team
584,ENG10584,CUST1035,PROD014,2 units,38236.55,2025-04-13,FinMark BI Team
585,ENG10585,CUST1088,PROD007,2 units,33825.0,2024-12-28,FinMark BI Team
586,ENG10586,CUST1020,PROD017,2,20088.43,2024-12-06,FinMark BI Team
587,ENG10587,CUST1035,PROD012,3,63760.69,2024-06-02,FinMark BI Team
589,ENG10589,CUST1072,PROD004,2 units,33457.61,2022-01-30,FinMark BI Team
590,ENG10590,CUST1023,PROD009,3,59782.83,2022-10-08,FinMark BI Team
591,ENG10591,CUST1063,PROD006,3,64513.78,2024-07-12,FinMark BI Team
594,ENG10594,CUST1098,PROD008,2 units,38175.85,2023-01-03,FinMark BI Team
595,ENG10595,CUST1035,PROD011,1,39517.71,2023-05-10,FinMark BI Team
596,ENG10596,CUST1081,PROD013,2,62757.28,2024-11-14,FinMark BI Team
597,ENG10597,CUST1095,PROD017,2,69006.77,2023-12-19,FinMark BI Team
598,ENG10598,CUST1023,PROD008,3,30896.84,2024-10-13,FinMark BI Team
600,ENG10600,CUST1061,PROD018,3,74116.41,2023-08-29,FinMark BI Team
601,ENG10601,CUST1095,PROD014,2,68401.61,2023-01-10,FinMark BI Team
602,ENG10602,CUST1036,PROD015,1,79091.5,2023-10-01,FinMark BI Team
603,ENG10603,CUST1011,PROD006,1,65254.9,2024-11-14,FinMark BI Team
606,ENG10606,CUST1022,PROD001,2,59660.86,2022-04-26,FinMark BI Team
607,ENG10607,CUST1088,PROD006,1,24707.35,2022-02-17,FinMark BI Team
608,ENG10608,CUST1098,PROD009,2 units,52669.82,2022-04-09,FinMark BI Team
609,ENG10609,CUST1029,PROD008,2 units,62559.25,2023-02-09,FinMark BI Team
610,ENG10610,CUST1016,PROD011,2,30039.28,2025-05-22,FinMark BI Team
611,ENG10611,CUST1061,PROD019,1,66837.9,2023-11-16,FinMark BI Team
612,ENG10612,CUST1083,PROD009,3,55026.37,2024-06-21,FinMark BI Team
613,ENG10613,CUST1088,PROD017,1,77133.31,2023-05-18,FinMark BI Team
614,ENG10614,CUST1085,PROD012,2 units,22545.34,2024-06-12,FinMark BI Team
615,ENG10615,CUST1012,PROD014,2 units,35919.57,2022-09-15,FinMark BI Team
616,ENG10616,CUST1058,PROD015,1,56093.23,2024-04-23,FinMark BI Team
617,ENG10617,CUST1018,PROD016,1,37793.59,2022-05-01,FinMark BI Team
618,ENG10618,CUST1048,PROD020,3,62865.45,2024-03-20,FinMark BI Team
619,ENG10619,CUST1099,PROD001,3,65540.32,2024-09-04,FinMark BI Team
620,ENG10620,CUST1011,PROD010,1,26150.96,2022-02-23,FinMark BI Team
621,ENG10621,CUST1060,PROD008,1,50831.27,2024-10-15,FinMark BI Team
623,ENG10623,CUST1075,PROD001,1,42156.85,2024-02-23,FinMark BI Team
624,ENG10624,CUST1008,PROD002,2,75975.49,2022-08-29,FinMark BI Team
625,ENG10625,CUST1070,PROD001,1,69650.38,2023-04-28,FinMark BI Team
626,ENG10626,CUST1027,PROD001,3,61832.56,2024-10-09,FinMark BI Team
627,ENG10627,CUST1077,PROD009,2 units,62859.6,2022-07-06,FinMark BI Team
628,ENG10628,CUST1094,PROD013,2,47702.97,2023-10-18,FinMark BI Team
629,ENG10629,CUST1051,PROD001,1,75259.67,2022-09-19,FinMark BI Team
630,ENG10630,CUST1082,PROD013,2 units,61675.73,2024-08-10,FinMark BI Team
632,ENG10632,CUST1068,PROD007,2 units,71701.45,2023-05-06,FinMark BI Team
633,ENG10633,CUST1098,PROD002,1,36444.3,2023-03-07,FinMark BI Team
634,ENG10634,CUST1011,PROD006,1,68424.25,2022-08-27,FinMark BI Team
635,ENG10635,CUST1024,PROD007,3,31714.44,2022-10-31,FinMark BI Team
636,ENG10636,CUST1051,PROD014,1,40720.52,2022-10-25,FinMark BI Team
637,ENG10637,CUST1084,PROD018,1,40136.63,2022-03-17,FinMark BI Team
639,ENG10639,CUST1052,PROD002,3,71392.23,2024-09-25,FinMark BI Team
640,ENG10640,CUST1022,PROD010,2,62070.19,2023-10-04,FinMark BI Team
641,ENG10641,CUST1015,PROD012,2 units,63623.41,2024-04-06,FinMark BI Team
642,ENG10642,CUST1056,PROD017,1,53724.37,2022-10-10,FinMark BI Team
643,ENG10643,CUST1038,PROD008,2 units,76825.44,2023-08-14,FinMark BI Team
644,ENG10644,CUST1052,PROD011,2,49775.53,2022-03-13,FinMark BI Team
646,ENG10646,CUST1057,PROD006,1,29782.12,2023-12-04,FinMark BI Team
647,ENG10647,CUST1038,PROD009,2,67172.34,2023-07-29,FinMark BI Team
648,ENG10648,CUST1013,PROD006,2,64066.64,2024-09-26,FinMark BI Team
649,ENG10649,CUST1094,PROD009,2,43061.3,2024-06-10,FinMark BI Team
650,ENG10650,CUST1004,PROD007,2,21511.6,2022-01-12,FinMark BI Team
651,ENG10651,CUST1034,PROD009,2,70339.84,2022-05-21,FinMark BI Team
652,ENG10652,CUST1086,PROD018,1,20685.08,2022-01-17,FinMark BI Team
653,ENG10653,CUST1092,PROD012,2,62221.99,2024-12-22,FinMark BI Team
654,ENG10654,CUST1074,PROD008,1,78215.43,2022-09-10,FinMark BI Team
655,ENG10655,CUST1017,PROD008,1,46259.68,2023-04-10,FinMark BI Team
656,ENG10656,CUST1075,PROD018,2,34098.4,2023-01-11,FinMark BI Team
657,ENG10657,CUST1008,PROD020,2,62292.26,2024-09-07,FinMark BI Team
658,ENG10658,CUST1073,PROD015,3,69027.69,2023-06-04,FinMark BI Team
659,ENG10659,CUST1057,PROD007,1,52785.82,2022-03-31,FinMark BI Team
660,ENG10660,CUST1016,PROD011,2,78022.12,2023-12-21,FinMark BI Team
661,ENG10661,CUST1006,PROD020,2,23100.12,2024-03-14,FinMark BI Team
662,ENG10662,CUST1045,PROD016,2,50287.74,2024-03-06,FinMark BI Team
663,ENG10663,CUST1012,PROD004,3,63107.24,2023-09-22,FinMark BI Team
664,ENG10664,CUST1039,PROD006,3,71758.43,2025-04-13,FinMark BI Team
665,ENG10665,CUST1041,PROD003,2 units,30755.34,2022-03-17,FinMark BI Team
666,ENG10666,CUST1008,PROD009,1,68000.21,2024-07-14,FinMark BI Team
667,ENG10667,CUST1049,PROD010,2 units,53162.42,2023-02-04,FinMark BI Team
668,ENG10668,CUST1026,PROD014,2,43793.22,2024-08-27,FinMark BI Team
669,ENG10669,CUST1065,PROD011,3,27902.9,2024-12-30,FinMark BI Team
670,ENG10670,CUST1004,PROD018,3,71917.75,2025-04-18,FinMark BI Team
671,ENG10671,CUST1028,PROD012,2 units,29436.39,2025-02-21,FinMark BI Team
674,ENG10674,CUST1082,PROD013,3,72284.84,2024-03-07,FinMark BI Team
675,ENG10675,CUST1007,PROD019,2 units,60362.18,2022-07-14,FinMark BI Team
676,ENG10676,CUST1064,PROD019,2,67800.88,2022-08-16,FinMark BI Team
679,ENG10679,CUST1070,PROD013,2 units,54304.76,2023-04-06,FinMark BI Team
680,ENG10680,CUST1088,PROD008,2 units,69969.82,2023-09-10,FinMark BI Team
681,ENG10681,CUST1044,PROD019,1,74365.22,2024-11-10,FinMark BI Team
682,ENG10682,CUST1003,PROD012,3,20729.41,2022-03-05,FinMark BI Team
683,ENG10683,CUST1035,PROD018,3,60441.2,2022-06-14,FinMark BI Team
684,ENG10684,CUST1069,PROD006,2 units,23110.15,2022-01-27,FinMark BI Team
686,ENG10686,CUST1018,PROD019,3,37257.96,2024-10-08,FinMark BI Team
687,ENG10687,CUST1060,PROD005,2,38406.6,2022-10-12,FinMark BI Team
688,ENG10688,CUST1053,PROD009,2 units,41177.51,2022-10-08,FinMark BI Team
689,ENG10689,CUST1038,PROD003,3,57277.55,2024-04-17,FinMark BI Team
690,ENG10690,CUST1090,PROD010,2,40043.0,2024-04-10,FinMark BI Team
691,ENG10691,CUST1073,PROD019,3,63961.94,2025-04-02,FinMark BI Team
692,ENG10692,CUST1089,PROD003,2,44271.64,2024-07-06,FinMark BI Team
693,ENG10693,CUST1018,PROD015,2 units,24101.19,2022-08-12,FinMark BI Team
694,ENG10694,CUST1038,PROD001,3,67025.59,2024-02-23,FinMark BI Team
695,ENG10695,CUST1066,PROD007,3,37145.5,2025-03-15,FinMark BI Team
696,ENG10696,CUST1044,PROD012,1,45966.01,2024-08-22,FinMark BI Team
697,ENG10697,CUST1012,PROD017,2 units,61126.63,2024-08-07,FinMark BI Team
698,ENG10698,CUST1091,PROD020,2,39947.37,2024-11-19,FinMark BI Team
699,ENG10699,CUST1057,PROD005,3,23395.14,2022-02-14,FinMark BI Team
700,ENG10700,CUST1019,PROD004,3,42435.26,2023-04-16,FinMark BI Team
701,ENG10701,CUST1091,PROD012,2,76666.91,2022-02-03,FinMark BI Team
702,ENG10702,CUST1071,PROD020,2 units,58504.06,2023-10-15,FinMark BI Team
704,ENG10704,CUST1038,PROD017,1,57936.93,2024-04-09,FinMark BI Team
705,ENG10705,CUST1000,PROD019,3,31939.53,2022-08-09,FinMark BI Team
706,ENG10706,CUST1002,PROD009,2,45100.03,2023-06-18,FinMark BI Team
707,ENG10707,CUST1076,PROD004,3,65056.39,2023-11-23,FinMark BI Team
709,ENG10709,CUST1061,PROD004,1,36671.17,2024-07-20,FinMark BI Team
710,ENG10710,CUST1062,PROD002,2 units,36579.15,2024-04-20,FinMark BI Team
711,ENG10711,CUST1024,PROD015,2,45921.14,2024-10-07,FinMark BI Team
712,ENG10712,CUST1055,PROD002,1,78822.12,2023-08-05,FinMark BI Team
713,ENG10713,CUST1032,PROD004,3,24050.15,2025-02-13,FinMark BI Team
714,ENG10714,CUST1037,PROD006,2,51122.06,2022-08-27,FinMark BI Team
716,ENG10716,CUST1057,PROD010,3,78240.59,2023-03-17,FinMark BI Team
717,ENG10717,CUST1043,PROD019,3,26798.21,2022-05-28,FinMark BI Team
718,ENG10718,CUST1044,PROD019,1,44216.06,2024-10-29,FinMark BI Team
720,ENG10720,CUST1044,PROD003,3,62273.27,2023-01-23,FinMark BI Team
721,ENG10721,CUST1060,PROD013,2 units,45363.72,2024-12-09,FinMark BI Team
722,ENG10722,CUST1046,PROD018,2,40791.45,2024-07-04,FinMark BI Team
723,ENG10723,CUST1020,PROD008,2 units,43856.74,2023-09-30,FinMark BI Team
724,ENG10724,CUST1079,PROD015,3,35856.58,2022-10-05,FinMark BI Team
725,ENG10725,CUST1084,PROD001,2 units,32319.98,2024-09-15,FinMark BI Team
727,ENG10727,CUST1035,PROD008,2 units,36112.03,2023-08-12,FinMark BI Team
728,ENG10728,CUST1098,PROD004,2,37247.7,2023-10-11,FinMark BI Team
729,ENG10729,CUST1018,PROD016,2 units,59405.36,2023-09-10,FinMark BI Team
730,ENG10730,CUST1019,PROD010,2 units,78112.24,2022-05-15,FinMark BI Team
731,ENG10731,CUST1056,PROD012,1,56218.23,2023-08-03,FinMark BI Team
732,ENG10732,CUST1017,PROD014,2 units,24618.77,2025-03-16,FinMark BI Team
733,ENG10733,CUST1046,PROD014,2 units,24535.02,2023-05-05,FinMark BI Team
734,ENG10734,CUST1048,PROD002,3,77085.39,2023-04-23,FinMark BI Team
735,ENG10735,CUST1013,PROD005,3,37837.45,2025-03-28,FinMark BI Team
736,ENG10736,CUST1014,PROD005,2,25524.02,2023-01-19,FinMark BI Team
737,ENG10737,CUST1030,PROD006,3,55942.68,2022-06-12,FinMark BI Team
738,ENG10738,CUST1000,PROD013,3,57418.93,2023-03-17,FinMark BI Team
739,ENG10739,CUST1053,PROD009,3,58910.29,2025-04-27,FinMark BI Team
740,ENG10740,CUST1002,PROD015,3,36044.12,2023-02-19,FinMark BI Team
742,ENG10742,CUST1086,PROD007,3,77900.92,2025-04-19,FinMark BI Team
743,ENG10743,CUST1056,PROD020,1,35053.58,2022-10-15,FinMark BI Team
744,ENG10744,CUST1074,PROD002,1,60561.58,2022-07-06,FinMark BI Team
745,ENG10745,CUST1011,PROD007,3,62397.79,2025-03-07,FinMark BI Team
746,ENG10746,CUST1073,PROD006,2 units,56600.45,2022-05-10,FinMark BI Team
747,ENG10747,CUST1095,PROD017,1,38774.44,2022-07-13,FinMark BI Team
748,ENG10748,CUST1015,PROD002,2 units,36265.78,2022-11-12,FinMark BI Team
749,ENG10749,CUST1071,PROD003,2 units,55860.1,2022-05-24,FinMark BI Team
750,ENG10750,CUST1075,PROD005,3,71965.74,2022-01-16,FinMark BI Team
752,ENG10752,CUST1027,PROD001,3,26354.35,2023-02-27,FinMark BI Team
753,ENG10753,CUST1007,PROD008,2,29289.72,2022-09-02,FinMark BI Team
754,ENG10754,CUST1091,PROD012,2,76684.18,2024-07-15,FinMark BI Team
755,ENG10755,CUST1035,PROD004,3,64192.11,2025-02-04,FinMark BI Team
756,ENG10756,CUST1089,PROD013,3,72979.63,2025-01-16,FinMark BI Team
757,ENG10757,CUST1007,PROD015,2,32157.96,2022-05-09,FinMark BI Team
758,ENG10758,CUST1057,PROD011,3,55255.15,2024-06-25,FinMark BI Team
759,ENG10759,CUST1059,PROD010,2,62068.38,2024-06-05,FinMark BI Team
760,ENG10760,CUST1049,PROD003,2 units,60806.71,2022-12-07,FinMark BI Team
761,ENG10761,CUST1027,PROD014,3,44489.1,2022-01-04,FinMark BI Team
764,ENG10764,CUST1099,PROD010,2 units,35186.09,2022-11-02,FinMark BI Team
765,ENG10765,CUST1063,PROD012,2 units,47015.25,2024-06-26,FinMark BI Team
766,ENG10766,CUST1026,PROD009,2,77454.86,2023-08-30,FinMark BI Team
769,ENG10769,CUST1072,PROD020,2,31312.44,2024-09-18,FinMark BI Team
770,ENG10770,CUST1032,PROD008,1,60347.63,2022-11-17,FinMark BI Team
771,ENG10771,CUST1083,PROD011,3,78620.42,2023-07-13,FinMark BI Team
